date,value,minValue,maxValue
2015-01-06 21:42:19,476.808,-nan(ind),-nan(ind)
2015-01-06 21:47:19,757.72,-nan(ind),-nan(ind)
2015-01-06 21:52:19,735.32,-nan(ind),-nan(ind)
2015-01-06 21:57:19,798.043,-nan(ind),-nan(ind)
2015-01-06 22:02:19,491.042,-nan(ind),-nan(ind)
2015-01-06 22:07:19,453.308,-nan(ind),-nan(ind)
2015-01-06 22:12:19,1815.11,-nan(ind),-nan(ind)
2015-01-06 22:17:19,1975.46,-nan(ind),-nan(ind)
2015-01-06 22:22:19,2098.83,-nan(ind),-nan(ind)
2015-01-06 22:27:19,2171.56,-nan(ind),-nan(ind)
2015-01-06 22:32:19,1993.8,-nan(ind),-nan(ind)
2015-01-06 22:37:19,2151.27,-nan(ind),-nan(ind)
2015-01-06 22:42:19,1577.1,-nan(ind),-nan(ind)
2015-01-06 22:47:19,1503.29,-nan(ind),-nan(ind)
2015-01-06 22:52:19,1373.78,-nan(ind),-nan(ind)
2015-01-06 22:57:19,1317.13,-nan(ind),-nan(ind)
2015-01-06 23:02:19,1503.29,-nan(ind),-nan(ind)
2015-01-06 23:07:19,1652.16,-nan(ind),-nan(ind)
2015-01-06 23:12:19,2283,-nan(ind),-nan(ind)
2015-01-06 23:17:19,2170.1,-nan(ind),-nan(ind)
2015-01-06 23:22:19,2170,-nan(ind),-nan(ind)
2015-01-06 23:27:19,1268.7,-nan(ind),-nan(ind)
2015-01-06 23:32:19,1268.7,-nan(ind),-nan(ind)
2015-01-06 23:37:19,1237.33,-nan(ind),-nan(ind)
2015-01-06 23:42:19,469.955,-nan(ind),-nan(ind)
2015-01-06 23:47:19,450.826,-nan(ind),-nan(ind)
2015-01-06 23:52:19,442.364,-nan(ind),-nan(ind)
2015-01-06 23:57:19,301.391,-nan(ind),-nan(ind)
2015-01-07 00:02:19,301.652,-nan(ind),-nan(ind)
2015-01-07 00:07:19,301.652,-nan(ind),-nan(ind)
2015-01-07 00:12:19,1059.81,-nan(ind),-nan(ind)
2015-01-07 00:17:19,826.5,-nan(ind),-nan(ind)
2015-01-07 00:22:19,867.941,-nan(ind),-nan(ind)
2015-01-07 00:27:19,237.111,-nan(ind),-nan(ind)
2015-01-07 00:32:19,224.684,-nan(ind),-nan(ind)
2015-01-07 00:37:19,224.684,-nan(ind),-nan(ind)
2015-01-07 00:42:19,193.105,-nan(ind),-nan(ind)
2015-01-07 00:47:19,203.833,-nan(ind),-nan(ind)
2015-01-07 00:52:19,194.632,-nan(ind),-nan(ind)
2015-01-07 00:57:19,184.9,-nan(ind),-nan(ind)
2015-01-07 01:02:19,184.9,-nan(ind),-nan(ind)
2015-01-07 01:07:19,194.579,-nan(ind),-nan(ind)
2015-01-07 01:12:19,136.381,-nan(ind),-nan(ind)
2015-01-07 01:17:19,130.182,-nan(ind),-nan(ind)
2015-01-07 01:22:19,124.522,-nan(ind),-nan(ind)
2015-01-07 01:27:19,525.957,-nan(ind),-nan(ind)
2015-01-07 01:32:19,525.957,-nan(ind),-nan(ind)
2015-01-07 01:37:19,548.636,-nan(ind),-nan(ind)
2015-01-07 01:42:19,138.5,-nan(ind),-nan(ind)
2015-01-07 01:47:19,153.833,-nan(ind),-nan(ind)
2015-01-07 01:52:19,153.833,-nan(ind),-nan(ind)
2015-01-07 01:57:19,114.944,-nan(ind),-nan(ind)
2015-01-07 02:02:19,114.944,-nan(ind),-nan(ind)
2015-01-07 02:07:19,114.944,-nan(ind),-nan(ind)
2015-01-07 02:12:19,114.944,-nan(ind),-nan(ind)
2015-01-07 02:17:19,108.895,-nan(ind),-nan(ind)
2015-01-07 02:22:19,114.944,-nan(ind),-nan(ind)
2015-01-07 02:27:19,108.895,-nan(ind),-nan(ind)
2015-01-07 02:32:19,151.526,-nan(ind),-nan(ind)
2015-01-07 02:37:19,151.526,-nan(ind),-nan(ind)
2015-01-07 02:42:19,621.056,-nan(ind),-nan(ind)
2015-01-07 02:47:19,544.421,-nan(ind),-nan(ind)
2015-01-07 02:52:19,544.421,-nan(ind),-nan(ind)
2015-01-07 02:57:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:02:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:07:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:12:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:17:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:22:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:27:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:32:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:37:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:42:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:47:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:52:19,113.556,-nan(ind),-nan(ind)
2015-01-07 03:57:19,113.556,-nan(ind),-nan(ind)
2015-01-07 04:02:19,564.444,-nan(ind),-nan(ind)
2015-01-07 04:07:19,595.176,-nan(ind),-nan(ind)
2015-01-07 04:12:19,7.375,-nan(ind),-nan(ind)
2015-01-07 04:17:19,6,-nan(ind),-nan(ind)
2015-01-07 04:22:19,6,-nan(ind),-nan(ind)
2015-01-07 04:27:19,7,-nan(ind),-nan(ind)
2015-01-07 04:32:19,7,-nan(ind),-nan(ind)
2015-01-07 04:37:19,7.38889,-nan(ind),-nan(ind)
2015-01-07 04:42:19,453.579,-nan(ind),-nan(ind)
2015-01-07 04:47:19,453.579,-nan(ind),-nan(ind)
2015-01-07 04:52:19,478.778,-nan(ind),-nan(ind)
2015-01-07 04:57:19,6.9375,-nan(ind),-nan(ind)
2015-01-07 05:02:19,6.9375,-nan(ind),-nan(ind)
2015-01-07 05:07:19,6.9375,-nan(ind),-nan(ind)
2015-01-07 05:12:19,6.9375,-nan(ind),-nan(ind)
2015-01-07 05:17:19,8.17647,-nan(ind),-nan(ind)
2015-01-07 05:22:19,8.17647,-nan(ind),-nan(ind)
2015-01-07 05:27:19,8.17647,-nan(ind),-nan(ind)
2015-01-07 05:32:19,6.9375,-nan(ind),-nan(ind)
2015-01-07 05:37:19,6.9375,-nan(ind),-nan(ind)
2015-01-07 05:42:19,11.7222,-nan(ind),-nan(ind)
2015-01-07 05:47:19,11.7222,-nan(ind),-nan(ind)
2015-01-07 05:52:19,12.4118,-nan(ind),-nan(ind)
2015-01-07 05:57:19,541.824,-nan(ind),-nan(ind)
2015-01-07 06:02:19,541.824,-nan(ind),-nan(ind)
2015-01-07 06:07:19,460.55,-nan(ind),-nan(ind)
2015-01-07 06:12:19,6.53333,-nan(ind),-nan(ind)
2015-01-07 06:17:19,6.53333,-nan(ind),-nan(ind)
2015-01-07 06:22:19,6.92308,-nan(ind),-nan(ind)
2015-01-07 06:27:19,7.5,-nan(ind),-nan(ind)
2015-01-07 06:32:19,6.92308,-nan(ind),-nan(ind)
2015-01-07 06:37:19,7,-nan(ind),-nan(ind)
2015-01-07 06:42:19,19.8947,-nan(ind),-nan(ind)
2015-01-07 06:47:19,21.1579,-nan(ind),-nan(ind)
2015-01-07 06:52:19,20.1,-nan(ind),-nan(ind)
2015-01-07 06:57:19,20.1,-nan(ind),-nan(ind)
2015-01-07 07:02:19,20.1,-nan(ind),-nan(ind)
2015-01-07 07:07:19,20.1,-nan(ind),-nan(ind)
2015-01-07 07:12:19,22.3333,-nan(ind),-nan(ind)
2015-01-07 07:17:19,22.25,-nan(ind),-nan(ind)
2015-01-07 07:22:19,24.7222,-nan(ind),-nan(ind)
2015-01-07 07:27:19,515.444,-nan(ind),-nan(ind)
2015-01-07 07:32:19,465.1,-nan(ind),-nan(ind)
2015-01-07 07:37:19,471.05,-nan(ind),-nan(ind)
2015-01-07 07:42:19,27.4211,-nan(ind),-nan(ind)
2015-01-07 07:47:19,25.5789,-nan(ind),-nan(ind)
2015-01-07 07:52:19,20.3684,-nan(ind),-nan(ind)
2015-01-07 07:57:19,7388.79,-nan(ind),-nan(ind)
2015-01-07 08:02:19,7388.79,-nan(ind),-nan(ind)
2015-01-07 08:07:19,7019.35,-nan(ind),-nan(ind)
2015-01-07 08:12:19,8019.35,-nan(ind),-nan(ind)
2015-01-07 08:17:19,8019.35,-nan(ind),-nan(ind)
2015-01-07 08:22:19,8019.35,-nan(ind),-nan(ind)
2015-01-07 08:27:19,5257.9,-nan(ind),-nan(ind)
2015-01-07 08:32:19,5020,-nan(ind),-nan(ind)
2015-01-07 08:37:19,5263.76,-nan(ind),-nan(ind)
2015-01-07 08:42:19,4127.73,-nan(ind),-nan(ind)
2015-01-07 08:47:19,4127.73,-nan(ind),-nan(ind)
2015-01-07 08:52:19,4127.73,-nan(ind),-nan(ind)
2015-01-07 08:57:19,75.5,-nan(ind),-nan(ind)
2015-01-07 09:02:19,78.2105,-nan(ind),-nan(ind)
2015-01-07 09:07:19,79.5789,-nan(ind),-nan(ind)
2015-01-07 09:12:19,79.5789,-nan(ind),-nan(ind)
2015-01-07 09:17:19,79.5789,-nan(ind),-nan(ind)
2015-01-07 09:22:19,76.2222,-nan(ind),-nan(ind)
2015-01-07 09:27:19,21.8824,-nan(ind),-nan(ind)
2015-01-07 09:32:19,22.0556,-nan(ind),-nan(ind)
2015-01-07 09:37:19,22.1053,-nan(ind),-nan(ind)
2015-01-07 09:42:19,3071,-nan(ind),-nan(ind)
2015-01-07 09:47:19,3071,-nan(ind),-nan(ind)
2015-01-07 09:52:19,3071.35,-nan(ind),-nan(ind)
2015-01-07 09:57:19,23.7222,-nan(ind),-nan(ind)
2015-01-07 10:02:19,23.7222,-nan(ind),-nan(ind)
2015-01-07 10:07:19,23.5,-nan(ind),-nan(ind)
2015-01-07 10:12:19,23.7895,-nan(ind),-nan(ind)
2015-01-07 10:17:19,23.7222,-nan(ind),-nan(ind)
2015-01-07 10:22:19,359.316,-nan(ind),-nan(ind)
2015-01-07 10:27:19,358,-nan(ind),-nan(ind)
2015-01-07 10:32:19,341.35,-nan(ind),-nan(ind)
2015-01-07 10:37:19,342.9,-nan(ind),-nan(ind)
2015-01-07 10:42:19,345.65,-nan(ind),-nan(ind)
2015-01-07 10:47:19,347,-nan(ind),-nan(ind)
2015-01-07 10:52:19,347,-nan(ind),-nan(ind)
2015-01-07 10:57:19,764.05,-nan(ind),-nan(ind)
2015-01-07 11:02:19,764.05,-nan(ind),-nan(ind)
2015-01-07 11:07:19,795.95,-nan(ind),-nan(ind)
2015-01-07 11:12:19,567.176,-nan(ind),-nan(ind)
2015-01-07 11:17:19,602.625,-nan(ind),-nan(ind)
2015-01-07 11:22:19,202.063,-nan(ind),-nan(ind)
2015-01-07 11:27:19,179,-nan(ind),-nan(ind)
2015-01-07 11:32:19,179.579,-nan(ind),-nan(ind)
2015-01-07 11:37:19,219.789,-nan(ind),-nan(ind)
2015-01-07 11:42:19,219.789,-nan(ind),-nan(ind)
2015-01-07 11:47:19,210.15,-nan(ind),-nan(ind)
2015-01-07 11:52:19,267.048,-nan(ind),-nan(ind)
2015-01-07 11:57:19,238.708,-nan(ind),-nan(ind)
2015-01-07 12:02:19,229,-nan(ind),-nan(ind)
2015-01-07 12:07:19,278.708,-nan(ind),-nan(ind)
2015-01-07 12:12:19,627.048,-nan(ind),-nan(ind)
2015-01-07 12:17:19,625.762,-nan(ind),-nan(ind)
2015-01-07 12:22:19,454.333,-nan(ind),-nan(ind)
2015-01-07 12:27:19,178.143,-nan(ind),-nan(ind)
2015-01-07 12:32:19,178.143,-nan(ind),-nan(ind)
2015-01-07 12:37:19,310.955,-nan(ind),-nan(ind)
2015-01-07 12:42:19,310.955,-nan(ind),-nan(ind)
2015-01-07 12:47:19,311.955,-nan(ind),-nan(ind)
2015-01-07 12:52:19,172.318,-nan(ind),-nan(ind)
2015-01-07 12:57:19,139.783,-nan(ind),-nan(ind)
2015-01-07 13:02:19,145.045,-nan(ind),-nan(ind)
2015-01-07 13:07:19,288.714,-nan(ind),-nan(ind)
2015-01-07 13:12:19,276.227,-nan(ind),-nan(ind)
2015-01-07 13:17:19,276.227,-nan(ind),-nan(ind)
2015-01-07 13:22:19,289.381,-nan(ind),-nan(ind)
2015-01-07 13:27:19,760.143,-nan(ind),-nan(ind)
2015-01-07 13:32:19,798.15,-nan(ind),-nan(ind)
2015-01-07 13:37:19,721.333,-nan(ind),-nan(ind)
2015-01-07 13:42:19,175.824,-nan(ind),-nan(ind)
2015-01-07 13:47:19,175.824,-nan(ind),-nan(ind)
2015-01-07 13:52:19,166.056,-nan(ind),-nan(ind)
2015-01-07 13:57:19,75.95,-nan(ind),-nan(ind)
2015-01-07 14:02:19,183.091,-nan(ind),-nan(ind)
2015-01-07 14:07:19,168.917,-nan(ind),-nan(ind)
2015-01-07 14:12:19,528.185,-nan(ind),-nan(ind)
2015-01-07 14:17:19,470.08,-nan(ind),-nan(ind)
2015-01-07 14:22:19,430.893,-nan(ind),-nan(ind)
2015-01-07 14:27:19,88.2593,-nan(ind),-nan(ind)
2015-01-07 14:32:19,163.679,-nan(ind),-nan(ind)
2015-01-07 14:37:19,204.074,-nan(ind),-nan(ind)
2015-01-07 14:42:19,2301.39,-nan(ind),-nan(ind)
2015-01-07 14:47:19,2224.07,-nan(ind),-nan(ind)
2015-01-07 14:52:19,2189.21,-nan(ind),-nan(ind)
2015-01-07 14:57:19,166.552,-nan(ind),-nan(ind)
2015-01-07 15:02:19,252.759,-nan(ind),-nan(ind)
2015-01-07 15:07:19,289.862,-nan(ind),-nan(ind)
2015-01-07 15:12:19,220.926,-nan(ind),-nan(ind)
2015-01-07 15:17:19,129.111,-nan(ind),-nan(ind)
2015-01-07 15:22:19,89.3846,-nan(ind),-nan(ind)
2015-01-07 15:27:19,147.88,-nan(ind),-nan(ind)
2015-01-07 15:32:19,153.167,-nan(ind),-nan(ind)
2015-01-07 15:37:19,198.833,-nan(ind),-nan(ind)
2015-01-07 15:42:19,133.84,-nan(ind),-nan(ind)
2015-01-07 15:47:19,209.462,-nan(ind),-nan(ind)
2015-01-07 15:52:19,159.462,-nan(ind),-nan(ind)
2015-01-07 15:57:19,548.154,-nan(ind),-nan(ind)
2015-01-07 16:02:19,504.875,-nan(ind),-nan(ind)
2015-01-07 16:07:19,561.542,-nan(ind),-nan(ind)
2015-01-07 16:12:19,151.773,-nan(ind),-nan(ind)
2015-01-07 16:17:19,228.125,-nan(ind),-nan(ind)
2015-01-07 16:22:19,165.72,-nan(ind),-nan(ind)
2015-01-07 16:27:19,186.692,-nan(ind),-nan(ind)
2015-01-07 16:32:19,104.538,-nan(ind),-nan(ind)
2015-01-07 16:37:19,178.92,-nan(ind),-nan(ind)
2015-01-07 16:42:19,235.72,-nan(ind),-nan(ind)
2015-01-07 16:47:19,315.115,-nan(ind),-nan(ind)
2015-01-07 16:52:19,231.143,-nan(ind),-nan(ind)
2015-01-07 16:57:19,193.828,-nan(ind),-nan(ind)
2015-01-07 17:02:19,114.517,-nan(ind),-nan(ind)
2015-01-07 17:07:19,176.893,-nan(ind),-nan(ind)
2015-01-07 17:12:19,590.793,-nan(ind),-nan(ind)
2015-01-07 17:17:19,611.893,-nan(ind),-nan(ind)
2015-01-07 17:22:19,594.654,-nan(ind),-nan(ind)
